,ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL,Year
0,AGUASCALIENTES,4.91472860024482,1.58874006529022,1.94760079830123,17.6123150824332,21.4580806562174,137.052752634262,85.398249421737,68.3467372366668,47.6448072266703,50.720045995928,4.28795776608699,23.3865218782486,464.3585373620865,1985
1,BAJA CALIFORNIA,12.1505615805174,23.6250551630358,9.96220424274305,3.72364670993877,0.0175761549735964,0.343846986697508,0.770047177888693,0.0,13.504450427531,17.2689651151614,64.4559740196226,28.5688342684112,174.39116184652102,1985
2,BAJA CALIFORNIA SUR,30.3047228985808,0.0587781471047579,0.334604679886377,0.25991897959178,0.128789970123066,0.331741807841093,19.5520454473305,22.872792099609,18.4751334124933,15.5773316152134,6.60584611277215,1.13305126287632,115.63475643342255,1985
3,CAMPECHE,20.943153042625,26.685828815136,16.5098025933629,4.24875551000838,233.420940574161,124.723530285756,142.713987107032,194.129642778557,154.579156735937,32.8331400377645,60.1799801296637,4.03761085669405,1015.0055284666975,1985
4,COAHUILA,40.7145463206238,6.15220838387088,4.88775909635186,43.6119315942933,46.9496888943594,46.3141819535209,20.2395902254602,29.9995084740659,44.3176591068398,41.5838081338876,8.83090768130387,6.71567191847518,340.3174617830527,1985
5,COLIMA,8.05854960132253,1.78395952268482,0.244370417034407,0.066042633599754,1.15552731678117,95.7671395668403,102.561374125433,122.530812901074,102.988880422031,52.3563756559835,8.05399078475569,2.75982390150968,498.32684684904984,1985
6,CHIAPAS,107.345519738498,59.2283090605907,60.4596391282541,100.050660386424,111.857675561937,258.14400636454,255.975929556609,248.993997423992,258.966517214075,191.962299635091,106.401030930849,90.5114338698346,1849.8970188706944,1985
7,CHIHUAHUA,54.5562316488434,9.38995212909119,5.14301220000902,21.0864708259328,8.09084767798245,47.355255817098,74.461912417405,61.1791666483387,66.20643960192,14.2029362105819,9.19323070870965,6.78882277125819,377.6542786571704,1985
8,CIUDAD DE MÉXICO,1.09269422172967,1.47091053869621,4.69784241685285,52.0001314645587,67.2041415916858,229.60034740445,130.596544944261,109.154780588862,68.7401022768824,49.0553120481228,0.20567949462096,0.263735148014047,714.0822221387365,1985
9,DURANGO,61.3264101082311,4.66542600051058,0.511277981414726,11.4025575423146,6.64489746276162,51.3956137413848,96.883728964815,99.09400287157,76.3675750550593,49.3846939802145,2.47957766809091,24.268947820187,484.42470919655415,1985
10,GUANAJUATO,1.44955205466096,2.77178094585147,2.97828937988254,26.0853677181533,55.7358832984977,161.764849075422,104.219001986846,90.4596034462476,46.4533679680702,30.8057386009076,8.42674027282377,2.70476727210651,533.8549420194696,1985
11,GUERRERO,15.8213037105493,1.20633075650454,6.23266364731325,5.51796166406033,37.6562275887105,206.363727456652,240.590342679628,244.486051091227,176.535322964812,81.7687916294665,25.4959164287682,4.80595645150999,1046.4805960692015,1985
12,HIDALGO,22.4983123563689,14.6576549294414,17.6870309225317,74.2615845178572,77.85446305627,161.805283147615,156.798436572662,59.8259399397207,66.5027864438608,19.7245620735655,21.8730689225702,17.7847542170632,711.2738770995267,1985
13,JALISCO,7.1406776708783,1.61045343628786,2.29406650322972,1.78849164508964,10.7218321547418,242.824767754441,174.170659339982,130.335098246443,121.752200629031,61.1484953936958,10.1458178218425,5.05491887305447,768.9874794687171,1985
14,ESTADO DE MÉXICO,3.49353780969432,2.54876773748158,10.7363800611821,31.6310795448797,54.2915437343872,200.415840329026,140.418474526559,153.172030607502,121.546657044139,35.2107299080683,17.4288071294442,6.30877550438226,777.2026239367457,1985
15,MICHOACÁN,1.42882579274592,1.36579399051055,5.8631054596872,10.4247061723846,23.7202491025377,200.406265650272,165.02709108303,184.698616854544,100.772459065827,48.972762103649,17.6660459945658,5.00025157484379,765.3461728445976,1985
16,MORELOS,2.84499756096038,1.07039162000776,3.28122693668804,7.71391363454361,49.2337928778751,235.464020748662,183.987007532342,107.555627200438,142.249359414645,32.6284711077152,6.22286026142124,2.9668261708242,775.2184950661226,1985
17,NAYARIT,60.82108198025,3.24042903660529,5.24085215273356,0.0,1.65156375153232,166.17147910134,282.361144606146,257.531858628137,165.806635228067,46.0977606494973,11.4996897365534,10.9270426801552,1011.349537551017,1985
18,NUEVO LEÓN,36.6022311218031,18.8752447396033,22.2141589247294,80.6480080835671,63.0728957195533,87.7619796618655,14.7415678420856,47.0640756260592,51.0479720239351,73.8343864063223,11.4526560360174,12.5494918839371,519.8646680694784,1985
19,OAXACA,10.8635736116178,18.7102601374983,31.8494337865635,33.5990845134579,80.1445651110653,260.860073854889,291.664630208707,236.864206052022,195.494382341809,124.808026837628,69.5427473169876,32.0681578859163,1386.4691416581616,1985
20,PUEBLA,12.108568383702,27.0650835532072,25.2736056708116,62.1998068734628,72.3227014227543,205.371509758369,191.447671101968,143.970375291671,155.598570214145,105.010045851495,42.3417148620019,38.1505695721913,1080.8602225557788,1985
21,QUERÉTARO,2.78173227789115,2.99902919283965,1.23067461224851,59.5895474192311,58.2667992867972,174.582566709329,133.697532515363,58.1196363938853,57.1005200768587,21.2843432482785,7.14749947306588,1.70169229307826,578.5015734988662,1985
22,QUINTANA ROO,64.7396112841004,56.7704866968618,25.6286271275899,1.64823670643643,370.982274447582,140.052451680167,165.521575580662,143.318570860759,153.962171709498,67.1705151037264,100.825619053945,53.6140928224155,1344.2342330737433,1985
