,__type,ReleaseID,Date,FileDate,D0,D1,D2,D3,D4,None,Entidad
48,DroughtMonitorSite.code.NadmData,177,2017-07-31,20170731,31.22,56.45,0.0,0.0,0.0,12.33,Aguascalientes
49,DroughtMonitorSite.code.NadmData,176,2017-06-30,20170630,16.67,52.65,30.68,0.0,0.0,0.0,Aguascalientes
50,DroughtMonitorSite.code.NadmData,175,2017-05-31,20170531,26.58,73.42,0.0,0.0,0.0,0.0,Aguascalientes
51,DroughtMonitorSite.code.NadmData,174,2017-04-30,20170430,57.99,0.0,0.0,0.0,0.0,42.01,Aguascalientes
52,DroughtMonitorSite.code.NadmData,173,2017-03-31,20170331,37.24,0.0,0.0,0.0,0.0,62.76,Aguascalientes
53,DroughtMonitorSite.code.NadmData,172,2017-02-28,20170228,53.73,0.0,0.0,0.0,0.0,46.27,Aguascalientes
54,DroughtMonitorSite.code.NadmData,171,2017-01-31,20170131,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
55,DroughtMonitorSite.code.NadmData,170,2016-12-31,20161231,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
56,DroughtMonitorSite.code.NadmData,169,2016-11-30,20161130,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
57,DroughtMonitorSite.code.NadmData,168,2016-10-31,20161031,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
58,DroughtMonitorSite.code.NadmData,167,2016-09-30,20160930,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
59,DroughtMonitorSite.code.NadmData,166,2016-08-31,20160831,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
60,DroughtMonitorSite.code.NadmData,165,2016-07-31,20160731,55.73,0.0,0.0,0.0,0.0,44.27,Aguascalientes
61,DroughtMonitorSite.code.NadmData,164,2016-06-30,20160630,26.87,0.0,0.0,0.0,0.0,73.13,Aguascalientes
62,DroughtMonitorSite.code.NadmData,163,2016-05-31,20160531,3.66,0.0,0.0,0.0,0.0,96.34,Aguascalientes
63,DroughtMonitorSite.code.NadmData,162,2016-04-30,20160430,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
64,DroughtMonitorSite.code.NadmData,161,2016-03-31,20160331,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
65,DroughtMonitorSite.code.NadmData,160,2016-02-29,20160229,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
66,DroughtMonitorSite.code.NadmData,159,2016-01-31,20160131,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
67,DroughtMonitorSite.code.NadmData,158,2015-12-31,20151231,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
68,DroughtMonitorSite.code.NadmData,157,2015-11-30,20151130,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
69,DroughtMonitorSite.code.NadmData,156,2015-10-31,20151031,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
70,DroughtMonitorSite.code.NadmData,155,2015-09-30,20150930,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
71,DroughtMonitorSite.code.NadmData,154,2015-08-31,20150831,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
72,DroughtMonitorSite.code.NadmData,153,2015-07-31,20150731,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
73,DroughtMonitorSite.code.NadmData,152,2015-06-30,20150630,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
74,DroughtMonitorSite.code.NadmData,151,2015-05-31,20150531,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
75,DroughtMonitorSite.code.NadmData,150,2015-04-30,20150430,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
76,DroughtMonitorSite.code.NadmData,149,2015-03-31,20150331,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
77,DroughtMonitorSite.code.NadmData,148,2015-02-28,20150228,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
78,DroughtMonitorSite.code.NadmData,147,2015-01-31,20150131,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
